locationID,locationName,coordinates,capacityLimit
LOC0001,Global Warehousing Solutions,"40.7128,-74.0060",10000
LOC0002,Port of Genesis,"34.0522,-118.2437",50000
LOC0003,Keystone Logistics Hub,"41.8781,-87.6298",12000
LOC0004,Port of Atlantis,"25.7617,-80.1918",60000
LOC0005,Apex Storage Facility,"30.2672,-97.7431",8000
LOC0006,Port of Elysium,"32.7157,-117.1611",45000
LOC0007,Central Distribution Center,"39.9526,-75.1652",15000
LOC0008,Port of Avalon,"47.6062,-122.3321",55000
LOC0009,Summit Warehousing,"34.0522,-118.2437",9000
LOC0010,Port of Horizon,"29.7604,-95.3698",65000
LOC0011,Iron Mountain Storage,"33.4484,-112.0740",7500
LOC0012,Port of Arcadia,"36.1699,-115.1398",40000
LOC0013,Pinnacle Logistics,"39.7392,-104.9903",11000
LOC0014,Port of Olympus,"38.9072,-77.0369",70000
LOC0015,Everest Warehousing,"41.2565,-95.9345",8500
LOC0016,Port of Valhalla,"44.9778,-93.2650",52000
LOC0017,Matrix Distribution,"35.2271,-80.8431",13000
LOC0018,Port of Camelot,"32.7767,-96.7970",48000
LOC0019,Aegis Storage Solutions,"33.7490,-84.3880",9500
LOC0020,Port of Xanadu,"37.7749,-122.4194",75000
